55,60,91,37,51,81,94,68,32,99,98,19,72,39,25
29,43,81,87,28,32,12,19,89,73,8,93,56,27,96
65,12,55,76,36,22,25,27,0,54,78,54,16,73,5
50,68,4,6,30,92,23,98,74,21,56,17,48,76,49
41,53,25,88,68,11,34,69,51,57,36,78,13,93,86
80,30,63,96,49,10,98,72,73,6,41,67,4,65,20
37,6,45,82,80,47,86,50,37,13,41,68,5,77,85
16,58,97,68,3,86,99,35,62,90,66,14,14,56,23
0,23,94,69,82,37,97,15,17,52,77,87,35,2,64
16,16,36,43,16,98,30,90,96,44,51,41,61,57,8
4,69,20,45,76,54,75,5,78,8,76,9,31,5,67
31,91,3,23,96,98,9,21,55,41,17,70,54,22,92
57,16,41,87,36,87,46,6,13,80,65,38,90,72,51
38,15,95,96,41,26,62,14,55,5,63,86,41,81,49
44,1,21,16,8,62,34,75,76,30,68,64,37,15,75
